12
10,896463486503308
9,522298633789312
7,611626797833893
3,159852903518
21,610008939905875
21,49559131612536
21,43062396065367
21,450933177727247
21,61682010019628
22,02974566340069
22,85983602319828
24,38821753556578
27,056550972081627
31,45170543953018
37,976868846517206
46,136027366543466
54,83614341570703
63,66717658524139
72,77303260674108
82,39404850821745
92,75583809034686
104,06686851439504
116,52979181784724
130,35133635026034
145,749864373185
162,961420629314
182,24499120621127
203,88745208669988
228,20852237431134
255,56594106949112
286,3610330960262
321,0448024879081
360,12467805423245
404,1720337691392
453,8306094474464
509,8259652353018
572,9761151365785
644,2034997450373
724,5484763827416
815,1845259691759
917,4354003090073
1032,7944613385241
1162,9464955472583
1309,792322707089
1475,476558688512
1662,418938094416
1873,3496543516676
2111,349233517875
2379,8935242337975
2682,9044609424855
3024,807341791758
3410,5954577657567
3845,9030169416847
4337,087428906077
4891,322151059376
5516,7014527839965
6222,3586275016705
7018,599379042352
7917,052330357321
8930,838852669745
10074,764695318676
11365,536214938038
12822,004361870448
14465,43998709322
16319,844490351192
18412,30034632809
20773,36662808308
23437,525304137307
26443,68482711414
29835,748368545806
33663,254998577904
37982,10317462002
42855,367105063924
48354,217910575855
54558,963035975605
61560,21909269465
69460,23526047973
78374,38657583651
88432,85891580269
99782,55028523623
112589,21617478854
127039,89032123954
143345,61622395916
161744,52930966837
182505,33475868247
205931,23178422
232364,34167654207
262190,7042808727
295845,9158796877
333821,49081728875
376672,039774406
425023,36952725844
479581,6224832355
541143,5894706807
610608,3463949381
688990,3847070999
777434,4274481401
877232,1472479458
989841,0304356747
